"square_token","square_sku","gtin","original_name","normalized_name","normalization_note","brand","square_category","catalog_category","original_variation","presentation","specifications_in_original_name","reference_handle","csv_file","csv_row","csv_line_start","csv_line_end","xlsx_file","xlsx_sheet","xlsx_row","same_name_rows","duplicate_sku_rows","match_status","rockwall_product_id","dynamite_candidates","evidence"
"4EEEP37RJXP5AXHKDI7YX772","943100700084","","#10 Color Sparklers-8 Count","#10 Color Sparklers-8 Count","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","#10 Metal Color Sparklers 8 Pcs. BOGO","#10 Metal Color Sparklers 8 Pcs. BOGO","Unknown","#-10-color-sparklers-8-count--10-metal-color-sparklers-8-pcs-bogo","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","2","2","2","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","3","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"MO7U7N23MCPWFMSUO6F7KPX5","887946060578","","#10 Colored Sparklers 12pk","#10 Colored Sparklers 12pk","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#-10-colored-sparklers-12pk-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","3","3","3","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","4","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"NPHHBP5U244PDNHQCP2QKIFW","813559000335","","#20 Wedding Sparklers","#20 Wedding Sparklers","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#-20-wedding-sparklers-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","4","4","4","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","5","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TIP5YHEU5ZKBTV7XQE3XCN4Z","8145270110119","","#3 Cone","#3 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-cone-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","5","5","5","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","6","3","1","probable","","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"OJQE63ODOA5VPD3QCXH5T5YC","","757201000062","#3 Cone","#3 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","n3 cone 2 pack","n3 cone 2 pack","Unknown","#-3-cone-1-n3-cone-2-pack","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","6","6","6","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","7","3","0","probable","","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"3PH6F5MR6FJAYXJ2USJNAAR2","8145270110317","","#3 Cone","#3 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-cone-1-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","7","7","7","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","8","3","1","probable","","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"LVWCVY2ZMETIEEFYQ2IMJELD","8145270110218","","#3 Cone (Cutting Edge)","#3 Cone (Cutting Edge)","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-cone-cutting-edge--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","8","8","8","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","9","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"CDGWKPGVVZ4K54TBJPCZ4AV4","813559002230","","#3 Cone (Megabanger)","#3 Cone (Megabanger)","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-cone-megabanger--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","9","9","9","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","10","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GW2BANHVFZKPULG4Y2RIAFNB","705108404957","","#3 Cone (Shogun)","#3 Cone (Shogun)","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-cone-shogun--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","10","10","10","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","11","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"VVMQPHPHLHQ5PLBD2WW6R5N7","816597933849","","#3 Mini Cones 12pc","#3 Mini Cones 12pc","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","12pc","#-3-mini-cones-12pc-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","11","11","11","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","12","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"HPCVXOYT2OFAXABHQZESYK6X","715244102884","","#3 Solar Flare (BC)","#3 Solar Flare (BC)","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-solar-flare-bc--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","12","12","12","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","13","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"AL7PJVDQO5U7GMSPD7J3WPPL","715244002887","","#3 Solar Wave (BC)","#3 Solar Wave (BC)","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-3-solar-wave-bc--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","13","13","13","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","14","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"JYBDBSLRM7MBJD7YNRW5Z5LJ","821600011094","","#4 Cone","#4 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","#4 Cone (Suns)","#4 Cone (Suns)","Unknown","#-4-cone--4-cone-suns-","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","14","14","14","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","15","2","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2ZRYMSNE7SUXC3BUQPGZSS6L","715244002894","","#4 Cone","#4 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","#4 Turbo Flash (Black Cat)","#4 Turbo Flash (Black Cat)","Unknown","#-4-cone--4-turbo-flash-black-cat-","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","15","15","15","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","16","2","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XJKWJ2QUGHLISY77XDUXPQP6","064883500156","","#4 Texas Giant Cone","#4 Texas Giant Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-4-texas-giant-cone-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","16","16","16","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","17","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TRIEBHHYA5DFR35IA2XFLZID","8145270170519","","#6 Rocket","#6 Rocket","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#-6-rocket-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","17","17","17","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","18","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"F6EIOAIYFBSGWP3PKEN7SVCD","","8145270111215","#8 Cone","#8 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-8-cone-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","18","18","18","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","19","4","0","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"OP4I2X2T6BKOCAUYTPAZ6CLJ","8145270111116","","#8 Cone","#8 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-8-cone-1-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","19","19","19","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","20","4","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"P3MQGK5WIZM5YW7SIK4CC3YZ","8145270111314","","#8 Cone","#8 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","#8 Cone Generic #1","#8 Cone Generic #1","Unknown","#-8-cone-1--8-cone-generic-1","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","20","20","20","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","21","4","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"UQ2NKDQND4Y44GQ4K36F7HFF","8145270111215","","#8 Cone","#8 Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","#8 Cone Generic #2","#8 Cone Generic #2","Unknown","#-8-cone-1--8-cone-generic-2","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","21","21","21","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","22","4","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"M3SQAVSS5EO5RBMNDWIOKUA2","8145270181119","","#8 Golden Sparkler 6 Pcs-BOGO","#8 Golden Sparkler 6 Pcs","Whitespace cleaned; historical BOGO marker removed from display name only","Unknown","Unknown","Unknown","Regular","Unknown","6 Pcs","#-8-golden-sparkler-6-pcs-bogo-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","22","22","22","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","23","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"OIJ7TSC5JP2IUVH2VMHIEGIM","715244002900","","#8 Pharaoh's Treasure (BC)","#8 Pharaoh's Treasure (BC)","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-8-pharaoh-s-treasure-bc--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","23","23","23","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","24","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6AOFMZL7Z7QDPXT3DX7Y3D2M","8145270170700","","#8 Rocket","#8 Rocket","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#-8-rocket-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","24","24","24","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","25","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"OU3CLDPZSKPLLSYKQYLJU6RV","8145270170717","","#8 Rockets","#8 Rockets","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#-8-rockets-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","25","25","25","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","26","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TBCIHOLYIDHKDKTJC663NQNF","064883100851","","#8 Texas Giant Cone","#8 Texas Giant Cone","Whitespace cleaned; uncertain abbreviations retained","Unknown","CONES","Unknown","Regular","Unknown","Unknown","#-8-texas-giant-cone-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","26","26","26","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","27","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"3WJMCMYZKMPO5XDMP5N3BO3H","8145270261118","","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","Whitespace cleaned; uncertain abbreviations retained","Unknown","Artillery/Festival Balls","Unknown","Regular","Unknown","1"" | 12 pcs","#1-mini-artillery-balls-ce-12-pcs-orange-box--regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","27","27","27","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","28","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"WX7GBZIXZKXMZNUV7AGQX36N","8145270161111","","1"" Mini Artillery Shells 12 pcs","1"" Mini Artillery Shells 12 pcs","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","1"" | 12 pcs","#1-mini-artillery-shells-12-pcs-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","28","28","28","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","29","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"HY6JRS42XJTAXSJTLKOJFUQE","8145270121917","","10 Ball Assortment Pack","10 Ball Assortment Pack","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#10-ball-assortment-pack-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","29","29","29","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","30","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
