"square_token","original_name","original_variation","match_status","rockwall_product_id","dynamite_candidates","evidence"
"4EEEP37RJXP5AXHKDI7YX772","#10 Color Sparklers-8 Count","#10 Metal Color Sparklers 8 Pcs. BOGO","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"MO7U7N23MCPWFMSUO6F7KPX5","#10 Colored Sparklers 12pk","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"NPHHBP5U244PDNHQCP2QKIFW","#20 Wedding Sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TIP5YHEU5ZKBTV7XQE3XCN4Z","#3 Cone","Regular","probable","","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"OJQE63ODOA5VPD3QCXH5T5YC","#3 Cone","n3 cone 2 pack","probable","","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"3PH6F5MR6FJAYXJ2USJNAAR2","#3 Cone","Regular","probable","","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"LVWCVY2ZMETIEEFYQ2IMJELD","#3 Cone (Cutting Edge)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"CDGWKPGVVZ4K54TBJPCZ4AV4","#3 Cone (Megabanger)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GW2BANHVFZKPULG4Y2RIAFNB","#3 Cone (Shogun)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"VVMQPHPHLHQ5PLBD2WW6R5N7","#3 Mini Cones 12pc","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"HPCVXOYT2OFAXABHQZESYK6X","#3 Solar Flare (BC)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"AL7PJVDQO5U7GMSPD7J3WPPL","#3 Solar Wave (BC)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"JYBDBSLRM7MBJD7YNRW5Z5LJ","#4 Cone","#4 Cone (Suns)","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2ZRYMSNE7SUXC3BUQPGZSS6L","#4 Cone","#4 Turbo Flash (Black Cat)","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XJKWJ2QUGHLISY77XDUXPQP6","#4 Texas Giant Cone","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TRIEBHHYA5DFR35IA2XFLZID","#6 Rocket","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"F6EIOAIYFBSGWP3PKEN7SVCD","#8 Cone","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"OP4I2X2T6BKOCAUYTPAZ6CLJ","#8 Cone","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"P3MQGK5WIZM5YW7SIK4CC3YZ","#8 Cone","#8 Cone Generic #1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"UQ2NKDQND4Y44GQ4K36F7HFF","#8 Cone","#8 Cone Generic #2","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"M3SQAVSS5EO5RBMNDWIOKUA2","#8 Golden Sparkler 6 Pcs-BOGO","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"OIJ7TSC5JP2IUVH2VMHIEGIM","#8 Pharaoh's Treasure (BC)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6AOFMZL7Z7QDPXT3DX7Y3D2M","#8 Rocket","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"OU3CLDPZSKPLLSYKQYLJU6RV","#8 Rockets","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TBCIHOLYIDHKDKTJC663NQNF","#8 Texas Giant Cone","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"3WJMCMYZKMPO5XDMP5N3BO3H","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"WX7GBZIXZKXMZNUV7AGQX36N","1"" Mini Artillery Shells 12 pcs","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"HY6JRS42XJTAXSJTLKOJFUQE","10 Ball Assortment Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"HNBYE6I6SH7A4UHRXRRAFJUH","10 Min White Smoke","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"YIPN5KCTMVDGIH33DXXZID6U","100 Shot Barrage","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DJGW2P764RZFK2JCOQD7IJSZ","100 Shot Magical Barrage","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"N52HRIF24SHJ6W5XI2UTRROS","100 Shot Magical Shot Barrage","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"VOJNDZJPMSFCCTEVC3SUOTZC","100 Shot Magical Shot Barrage","100 Shot Barrage Old","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"UFZR2ZDV7SEVEGE4QLRUZXKU","100 Shot Missle","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
