"square_token","square_sku","gtin","original_name","normalized_name","brand","square_category","original_variation","presentation","specifications_in_original_name","pending_group","reason","dynamite_candidates","missing_information_or_resources","csv_row","csv_line_start","csv_line_end","xlsx_sheet","xlsx_row"
"4EEEP37RJXP5AXHKDI7YX772","943100700084","","#10 Color Sparklers-8 Count","#10 Color Sparklers-8 Count","Unknown","Unknown","#10 Metal Color Sparklers 8 Pcs. BOGO","#10 Metal Color Sparklers 8 Pcs. BOGO","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","2","2","2","Items","3"
"MO7U7N23MCPWFMSUO6F7KPX5","887946060578","","#10 Colored Sparklers 12pk","#10 Colored Sparklers 12pk","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","3","3","3","Items","4"
"NPHHBP5U244PDNHQCP2QKIFW","813559000335","","#20 Wedding Sparklers","#20 Wedding Sparklers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","4","4","4","Items","5"
"TIP5YHEU5ZKBTV7XQE3XCN4Z","8145270110119","","#3 Cone","#3 Cone","Unknown","CONES","Regular","Unknown","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","5","5","5","Items","6"
"OJQE63ODOA5VPD3QCXH5T5YC","","757201000062","#3 Cone","#3 Cone","Unknown","CONES","n3 cone 2 pack","n3 cone 2 pack","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","6","6","6","Items","7"
"3PH6F5MR6FJAYXJ2USJNAAR2","8145270110317","","#3 Cone","#3 Cone","Unknown","CONES","Regular","Unknown","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","7","7","7","Items","8"
"LVWCVY2ZMETIEEFYQ2IMJELD","8145270110218","","#3 Cone (Cutting Edge)","#3 Cone (Cutting Edge)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","8","8","8","Items","9"
"CDGWKPGVVZ4K54TBJPCZ4AV4","813559002230","","#3 Cone (Megabanger)","#3 Cone (Megabanger)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","9","9","9","Items","10"
"GW2BANHVFZKPULG4Y2RIAFNB","705108404957","","#3 Cone (Shogun)","#3 Cone (Shogun)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","10","10","10","Items","11"
"VVMQPHPHLHQ5PLBD2WW6R5N7","816597933849","","#3 Mini Cones 12pc","#3 Mini Cones 12pc","Unknown","CONES","Regular","Unknown","12pc","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","11","11","11","Items","12"
"HPCVXOYT2OFAXABHQZESYK6X","715244102884","","#3 Solar Flare (BC)","#3 Solar Flare (BC)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","12","12","12","Items","13"
"AL7PJVDQO5U7GMSPD7J3WPPL","715244002887","","#3 Solar Wave (BC)","#3 Solar Wave (BC)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","13","13","13","Items","14"
