"square_token","square_sku","gtin","original_name","normalized_name","brand","square_category","original_variation","presentation","specifications_in_original_name","pending_group","reason","dynamite_candidates","missing_information_or_resources","csv_row","csv_line_start","csv_line_end","xlsx_sheet","xlsx_row","research_status","product_id","verified_brand","manufacturer_code","verified_video","research_query","research_sources","research_reason","required_next_step"
"4EEEP37RJXP5AXHKDI7YX772","943100700084","","#10 Color Sparklers-8 Count","#10 Color Sparklers-8 Count","Unknown","Unknown","#10 Metal Color Sparklers 8 Pcs. BOGO","#10 Metal Color Sparklers 8 Pcs. BOGO","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","2","2","2","Items","3","no_verified_identity","","Unknown","Unknown","","""943100700084"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"MO7U7N23MCPWFMSUO6F7KPX5","887946060578","","#10 Colored Sparklers 12pk","#10 Colored Sparklers 12pk","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","3","3","3","Items","4","no_verified_identity","","Unknown","Unknown","","""887946060578"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"NPHHBP5U244PDNHQCP2QKIFW","813559000335","","#20 Wedding Sparklers","#20 Wedding Sparklers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","4","4","4","Items","5","candidate_requires_package_review","","Unknown","Unknown","","""813559000335"" fireworks","https://usa-fireworks.com/products/sparklers/20-gold-sparklers/","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"TIP5YHEU5ZKBTV7XQE3XCN4Z","8145270110119","","#3 Cone","#3 Cone","Unknown","CONES","Regular","Unknown","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","5","5","5","Items","6","no_verified_identity","","Unknown","Unknown","","""8145270110119"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"OJQE63ODOA5VPD3QCXH5T5YC","","757201000062","#3 Cone","#3 Cone","Unknown","CONES","n3 cone 2 pack","n3 cone 2 pack","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","6","6","6","Items","7","candidate_requires_package_review","","Unknown","Unknown","","""757201000062"" fireworks","https://www.raccoonfireworksusa.com/product-page/no-3-cone-fountain","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"3PH6F5MR6FJAYXJ2USJNAAR2","8145270110317","","#3 Cone","#3 Cone","Unknown","CONES","Regular","Unknown","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[39] No. 3 Cone Fountain / Monkey Mania / /products/no3-cone-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","7","7","7","Items","8","no_verified_identity","","Unknown","Unknown","","""8145270110317"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"LVWCVY2ZMETIEEFYQ2IMJELD","8145270110218","","#3 Cone (Cutting Edge)","#3 Cone (Cutting Edge)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","8","8","8","Items","9","no_verified_identity","","Unknown","Unknown","","""8145270110218"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"CDGWKPGVVZ4K54TBJPCZ4AV4","813559002230","","#3 Cone (Megabanger)","#3 Cone (Megabanger)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","9","9","9","Items","10","no_verified_identity","","Unknown","Unknown","","""813559002230"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"GW2BANHVFZKPULG4Y2RIAFNB","705108404957","","#3 Cone (Shogun)","#3 Cone (Shogun)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","10","10","10","Items","11","no_verified_identity","","Unknown","Unknown","","""705108404957"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"VVMQPHPHLHQ5PLBD2WW6R5N7","816597933849","","#3 Mini Cones 12pc","#3 Mini Cones 12pc","Unknown","CONES","Regular","Unknown","12pc","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","11","11","11","Items","12","no_verified_identity","","Unknown","Unknown","","""816597933849"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"HPCVXOYT2OFAXABHQZESYK6X","715244102884","","#3 Solar Flare (BC)","#3 Solar Flare (BC)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","12","12","12","Items","13","candidate_requires_package_review","","Unknown","Unknown","","Compared code against official Winco UPC reference","https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"AL7PJVDQO5U7GMSPD7J3WPPL","715244002887","","#3 Solar Wave (BC)","#3 Solar Wave (BC)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","13","13","13","Items","14","no_verified_identity","","Unknown","Unknown","","""715244002887"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"JYBDBSLRM7MBJD7YNRW5Z5LJ","821600011094","","#4 Cone","#4 Cone","Unknown","CONES","#4 Cone (Suns)","#4 Cone (Suns)","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","14","14","14","Items","15","no_verified_identity","","Unknown","Unknown","","""821600011094"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"2ZRYMSNE7SUXC3BUQPGZSS6L","715244002894","","#4 Cone","#4 Cone","Unknown","CONES","#4 Turbo Flash (Black Cat)","#4 Turbo Flash (Black Cat)","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","15","15","15","Items","16","candidate_requires_package_review","","Unknown","Unknown","","Compared code against official Winco UPC reference","https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"XJKWJ2QUGHLISY77XDUXPQP6","064883500156","","#4 Texas Giant Cone","#4 Texas Giant Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","16","16","16","Items","17","no_verified_identity","","Unknown","Unknown","","""064883500156"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"TRIEBHHYA5DFR35IA2XFLZID","8145270170519","","#6 Rocket","#6 Rocket","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","17","17","17","Items","18","no_verified_identity","","Unknown","Unknown","","""8145270170519"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"F6EIOAIYFBSGWP3PKEN7SVCD","","8145270111215","#8 Cone","#8 Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","18","18","18","Items","19","candidate_requires_package_review","","Unknown","Unknown","","""8145270111215"" fireworks","https://staging.usa-fireworks.com/products/fountains/fountains-200-gram/8-cone-ce-3/","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"OP4I2X2T6BKOCAUYTPAZ6CLJ","8145270111116","","#8 Cone","#8 Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","19","19","19","Items","20","no_verified_identity","","Unknown","Unknown","","""8145270111116"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"P3MQGK5WIZM5YW7SIK4CC3YZ","8145270111314","","#8 Cone","#8 Cone","Unknown","CONES","#8 Cone Generic #1","#8 Cone Generic #1","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","20","20","20","Items","21","no_verified_identity","","Unknown","Unknown","","""8145270111314"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"UQ2NKDQND4Y44GQ4K36F7HFF","8145270111215","","#8 Cone","#8 Cone","Unknown","CONES","#8 Cone Generic #2","#8 Cone Generic #2","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","21","21","21","Items","22","candidate_requires_package_review","","Unknown","Unknown","","""8145270111215"" fireworks","https://staging.usa-fireworks.com/products/fountains/fountains-200-gram/8-cone-ce-3/","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"M3SQAVSS5EO5RBMNDWIOKUA2","8145270181119","","#8 Golden Sparkler 6 Pcs-BOGO","#8 Golden Sparkler 6 Pcs","Unknown","Unknown","Regular","Unknown","6 Pcs","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","22","22","22","Items","23","no_verified_identity","","Unknown","Unknown","","""8145270181119"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"OIJ7TSC5JP2IUVH2VMHIEGIM","715244002900","","#8 Pharaoh's Treasure (BC)","#8 Pharaoh's Treasure (BC)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","23","23","23","Items","24","candidate_requires_package_review","","Unknown","Unknown","","Compared code against official Winco UPC reference","https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"6AOFMZL7Z7QDPXT3DX7Y3D2M","8145270170700","","#8 Rocket","#8 Rocket","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","24","24","24","Items","25","candidate_requires_package_review","","Unknown","Unknown","","""8145270170700"" fireworks","https://shop.intergalacticfireworks.com/8-oz-rocket.html","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"OU3CLDPZSKPLLSYKQYLJU6RV","8145270170717","","#8 Rockets","#8 Rockets","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","25","25","25","Items","26","no_verified_identity","","Unknown","Unknown","","""8145270170717"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
