"id","name","brand","category","presentation","manufacturer_code","square_rows","square_tokens","square_original_names","identity_code","sources","evidence","reference_image","reference_sha256","source_image_url","image_review","video","video_review","batch"
"2-minute-bomb","2-Minute Bomb","Raccoon","Cakes","500 gram · 70 shots","RA530259","59 | 62","K5DWDAJDWJNG6DTWEO5DGLHG | NPIALSN4V63R3R64QQOCWAML","2 Minute Bomb | 2 minute bomb","757205302599","https://www.raccoonfireworksusa.com/product-page/2-minute-bomb | https://dosgringosfireworks.com/2-minute-bomb/","Square row 59, token K5DWDAJDWJNG6DTWEO5DGLHG, code 757205302599, name '2 Minute Bomb'; manufacturer model RA530259 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval. Rows 59 and 62 carry the same manufacturer UPC 757205302599 and Regular presentation; one public identity, second record linked as a duplicate.","docs/catalog/enrichment-2026-09/references/2-minute-bomb-original.png","f2f56d45be2dd8122c4e56634b9d361c4bc38f97f25e90524cedba1c29f2163b","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA530259.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=dEeBqT5yOWw","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/2-minute-bomb', 'title': 'RA530259 2 Minute Bomb Raccoon 2025 New 500G Cake 70 Shots', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"250-paratroopers","250 Paratroopers","Winda","Parachutes","250 parachutes","P5614","72","4HWFFPKQHZTJ2Q7APAMG44QB","250 Paratroopers","705108561407","https://www.getwinda.com/product-page/250-paratroopers","Square row 72, token 4HWFFPKQHZTJ2Q7APAMG44QB, code 705108561407, name '250 Paratroopers'; manufacturer model P5614 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/250-paratroopers-original.png","026baea00fe01bad82190e8e83c0b502be65c5caef21e50daf08161963adf615","https://static.wixstatic.com/media/ecdf0c_3d6136ceec4542b2a7a4f1105ca7037c~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","","Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.","2026-09-24-official-1"
"american-anthem","American Anthem","Raccoon","Cakes","9-shot rack","RA57218","130","NX53FTYFRKZQY6WLTR2DY3WJ","American Anthem","757201572187","https://www.raccoonfireworksusa.com/product-page/american-anthem | https://americanwholesalefireworks.com/american-anthem/","Square row 130, token NX53FTYFRKZQY6WLTR2DY3WJ, code 757201572187, name 'American Anthem'; manufacturer model RA57218 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/american-anthem-original.png","ae92df99dcfefa1c40614639ec37e0ceb555d6c15cbacfa17772ea69a5c81b7f","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA57218.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=XlKS1F6et98","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/american-anthem', 'title': 'American Anthem RA57218 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"ant-chant","Ant Chant","Raccoon","Cakes","500 gram · 180 shots","RA530167","138","XEHFK3MLUWNJO53ONKR3COLJ","Ant Chant","757205301677","https://www.raccoonfireworksusa.com/product-page/ant-chant","Square row 138, token XEHFK3MLUWNJO53ONKR3COLJ, code 757205301677, name 'Ant Chant'; manufacturer model RA530167 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/ant-chant-original.png","58998b7eb7c2cb08cd02ca57ef0cfa67cb43a9fa05915feeb1be1090f37ed1ca","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA530167.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=Vi0sYfaM0GA","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/ant-chant', 'title': 'Ant Chant RA530167 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"band-of-brothers","Band of Brothers","Raccoon","Cakes","500 gram · 12 shots","RA53653","173","5WOBUE3YYS4WYVYLWDNIR7WP","Band Of Brothers","757201536530","https://www.raccoonfireworksusa.com/product-page/band-of-brothers","Square row 173, token 5WOBUE3YYS4WYVYLWDNIR7WP, code 757201536530, name 'Band Of Brothers'; manufacturer model RA53653 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/band-of-brothers-original.png","4686a532cc198349b8e991bf5f0fd1ed320e80fcf3f6c2c5a8c94cd7841cf7ce","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA53653.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=Ndro9los2fk","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/band-of-brothers', 'title': 'Band of Brothers RA53653 Raccoon Fireworks 2021 New Product 12 shots', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"born-leaders","Born Leaders","Winda","Cakes","3-cake set · 757 shots","P5599","234","IGG6JYTEMGHDBF5V5HAML3QY","Born Leaders","705108955992","https://www.getwinda.com/product-page/born-leaders-757-s","Square row 234, token IGG6JYTEMGHDBF5V5HAML3QY, code 705108955992, name 'Born Leaders'; manufacturer model P5599 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval. Square code is the manufacturer case UPC, not one of the three individual cake UPCs; publish only complete three-cake set.","docs/catalog/enrichment-2026-09/references/born-leaders-original.png","d5d39a0824e60cc02716a453f8874080859f0df6ce611f0305e58a81c6b1d933","https://static.wixstatic.com/media/ecdf0c_565b2614436948f4bb85de5a3f29093f~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","","Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.","2026-09-24-official-1"
"ceo-of-assortments","CEO of Assortments","Winda","Assortments","Aerial assortment","Unknown","247","EEB6GYW6OKUONPAP7CIMSVUX","CEO Family Pack Assortment","705108003907","https://www.getwinda.com/product-page/ceo-of-assortments | https://littlejsfireworks.com/product/ceo-of-assortments/ | https://nbfireworks.com/ceo-of-assortments-a-b-case/","Square row 247, token EEB6GYW6OKUONPAP7CIMSVUX, code 705108003907, name 'CEO Family Pack Assortment'; manufacturer model not published (inconsistent source field) and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval. Manufacturer page Item # P3207 conflicts with code/name pattern; model omitted, not silently corrected. Exact UPC 705108003907, CEO name and assortment photograph agree.","docs/catalog/enrichment-2026-09/references/ceo-of-assortments-original.png","89b4ecacf153d1ff425debb5880fd2406df410c5135ece82e591f686d2733656","https://static.wixstatic.com/media/ecdf0c_9412dbe0e75a45ea84720d448cbd7b07~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","","Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.","2026-09-24-official-1"
"chameleon-shells-24-pack","Chameleon Shells","Winda","Artillery Shells","5-inch shells · 24 pack","P8050","249","7KHVOFXS6SBVFD3SWNDZTBNE","Cameleon 5"" Artillery Shells 24 pack","705108805006","https://www.getwinda.com/product-page/chameleon-shells-5-inch | https://501pyro.com/chameleon-shells/ | https://www.youtube.com/watch?v=3M1DRGY7mYI","Square row 249, token 7KHVOFXS6SBVFD3SWNDZTBNE, code 705108805006, name 'Cameleon 5"" Artillery Shells 24 pack'; manufacturer model P8050 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/chameleon-shells-24-pack-original.png","54ccb556e447080414de213204e3802372e22c406cd91934fdd250ae16047cc3","https://static.wixstatic.com/media/ecdf0c_fed6391afd194e73b7ee128d5ab300a9~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=3M1DRGY7mYI","Reviewed exact product/model and presentation against the approved source page, indexed demo information and YouTube oEmbed metadata. Not a general search link or different package. Full playback of every video was not performed.","2026-09-24-official-1"
"cluster-bomb","Cluster Bomb","Raccoon","Cakes","500 gram · 40 shots","RA530119","271","ILCUK2NMBSHM2346N44FLBD4","Cluster Bomb 500 Gram","757205301196","https://www.raccoonfireworksusa.com/product-page/cluster-bomb | https://americanwholesalefireworks.com/cluster-bomb/","Square row 271, token ILCUK2NMBSHM2346N44FLBD4, code 757205301196, name 'Cluster Bomb 500 Gram'; manufacturer model RA530119 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/cluster-bomb-original.png","9fdefa7ac67ac197c7989f677b55aab086e7ad84d2729dd794ca63a0355b3399","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA530119.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=ZRbTtKDS3Uw","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/cluster-bomb', 'title': 'Cluster Bomb RA530119 Raccoon Fireworks 2021 New Product 40 shots', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"colorful-skies","Colorful Skies","Raccoon","Cakes","200 gram · 25 shots","RA22003","286","7URDOO5AVQK3XPYBFVZG3BCI","Colorful Skies","757201220033","https://www.raccoonfireworksusa.com/product-page/colorful-skies | https://ocfireworks.com/colorful-skies/ | https://gbfireworks.com/products/colorful-skies | https://americanwholesalefireworks.com/colorful-skies-raccoon/","Square row 286, token 7URDOO5AVQK3XPYBFVZG3BCI, code 757201220033, name 'Colorful Skies'; manufacturer model RA22003 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/colorful-skies-original.png","a7e4848cfea13d91ecf8626a87c81e980cafb6ea5f84d2a2996811eca4c79914","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA22003.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=7gcAO4M6p8s","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/colorful-skies', 'title': 'Colorful Skies RA22003 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
