"square_token","square_sku","gtin","original_name","normalized_name","brand","square_category","original_variation","presentation","specifications_in_original_name","pending_group","reason","dynamite_candidates","missing_information_or_resources","csv_row","csv_line_start","csv_line_end","xlsx_sheet","xlsx_row","research_status","product_id","verified_brand","manufacturer_code","verified_video","research_query","research_sources","research_reason","required_next_step"
"6CSS3ISX42RRXQQ2MENLSZC6","715244101085","","BC 8000 Firecracker","BC 8000 Firecracker","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","163","164","164","Items","164","identified_missing_image","","Unknown","Unknown","","Compared code against official Winco UPC reference | BC 8000 Firecracker L299@P26: Firecrackers FCBCR8000 Black Cat Roll Firecrackers (715244101085) fireworks manufacturer","https://www.scbfireworks.com/product/black-cat-firecrackers-32-500-roll/","Black Cat firecracker roll identity/count is known. Available manufacturer/distributor photographs group overlapping sizes; no approved isolated photograph establishes this specific 8000/4000/500 roll. nhpyro.com image download was denied by automatic approval review; no bypass attempted.","Obtain a complete isolated photograph with the correct roll count visible. Preserve distinct Square UPCs."
"YSCA5EM7QBGQ26342HWEVWIJ","715244140008","","Black Cat 4000","Black Cat 4000","Black Cat","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","193","194","194","Items","194","identified_missing_image","","Unknown","Unknown","","Compared code against official Winco UPC reference | Black Cat 4000 L298@P26: Firecrackers FCBCR4000 Black Cat Roll Firecrackers (715244140008) fireworks manufacturer","https://www.scbfireworks.com/product/black-cat-firecrackers-32-500-roll/","Black Cat firecracker roll identity/count is known. Available manufacturer/distributor photographs group overlapping sizes; no approved isolated photograph establishes this specific 8000/4000/500 roll. nhpyro.com image download was denied by automatic approval review; no bypass attempted.","Obtain a complete isolated photograph with the correct roll count visible. Preserve distinct Square UPCs."
"OHKV5B66T3AXTW7D5M5EMGGO","715244105007","","Black Cat 500ct Firecracker","Black Cat 500ct Firecracker","Black Cat","Unknown","Regular","Unknown","500ct","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","201","202","202","Items","202","identified_missing_image","","Unknown","Unknown","","Compared code against official Winco UPC reference | Black Cat 500ct Firecracker L295@P26: Firecrackers FCBCR00500 Black Cat Roll Firecrackers (715244105007) fireworks manufacturer","https://blackcatfireworks.com/fireworks/firecrackers/ | https://www.scbfireworks.com/product/black-cat-firecrackers-32-500-roll/","Black Cat firecracker roll identity/count is known. Available manufacturer/distributor photographs group overlapping sizes; no approved isolated photograph establishes this specific 8000/4000/500 roll. nhpyro.com image download was denied by automatic approval review; no bypass attempted.","Obtain a complete isolated photograph with the correct roll count visible. Preserve distinct Square UPCs."
"HJGHH3DSBQ3WC6ZCQID7J7VX","715244313136","","Black Cat Neon Sparkler Special 5 Ct","Black Cat Neon Sparkler Special 5 Ct","Black Cat","Unknown","Regular","Unknown","5 Ct","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","216","217","217","Items","217","identified_missing_image","","Unknown","Unknown","","Compared code against official Winco UPC reference | Black Cat Neon Sparkler Special 5 Ct L533@P46: Sparklers SKBC313-15* Neon Sparkler 17"": Special Effect (715244313136) fireworks manufacturer","https://www.starspanglednovelties.com/sparklers/neonsparklers.html | https://reliablefuse.com/product/neon-color-flame/","Neon Special Effects and Waterfall identities are known, but the local Winco candidate shows combined packages with their bottoms cut off. Other listings mix colors and variants; none provides a faithful complete exact retail package.","Complete photograph of the exact five-pack variant with labels and entire package visible."
"IGYZ3FSCVEQTCHU556SVQHRY","715244313129","","Black Cat Neon Sparkler Special 5 Ct","Black Cat Neon Sparkler Special 5 Ct","Black Cat","Unknown","Black Cat Neon Sparklers- Waterfall","Black Cat Neon Sparklers- Waterfall","5 Ct","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","217","218","218","Items","218","identified_missing_image","","Unknown","Unknown","","""715244313129"" fireworks | 17"" BC Neon Sparklers Black Cat Fireworks official fireworks manufacturer","https://usa-fireworks.com/products/sparklers/neon-sparklers-bc/ | https://blackcatfireworks.com/fireworks/firecrackers/ | https://blackcatfireworks.com/ | https://blackcatfireworks.com/fireworks/firecrackers/flashlight-firecrackers/ | https://www.blackcatfireworks.co.uk/about/about-us/ | https://www.blackcatfireworks.co.uk/about/our-brands/ | https://www.starspanglednovelties.com/sparklers/neonsparklers.html | https://reliablefuse.com/product/neon-color-flame/","Neon Special Effects and Waterfall identities are known, but the local Winco candidate shows combined packages with their bottoms cut off. Other listings mix colors and variants; none provides a faithful complete exact retail package.","Complete photograph of the exact five-pack variant with labels and entire package visible."
"HEQRXJPC54BDZL3AERGXQY7Y","715244007028","","Color Smokeballs","Color Smokeballs","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","284","285","285","Items","285","identified_missing_image","","Unknown","Unknown","","Compared code against official Winco UPC reference | Color Smokeballs L507@P44: Smoke Items SMBC702 BC Color Smoke Balls (715244007028) fireworks manufacturer","https://www.liuyangfireworks.net/blog/liuyang-smoke-fireworks.html | https://elevatedfireworks.com/collections/smoke/products/black-cat-smoke-balls-12-pack","Black Cat 12-pack UPC 715244007028 is identified. The reviewed retailer photograph mixes an outer carton, multiple bags and loose balls; it does not clearly isolate one complete 12-pack.","Readable complete 12-ball retail package photograph, not a wholesale carton or several retail units."
"ADOJ2HOWLC3REE7GQSLVGOEP","680149005007","","Electric Sparklers ","Electric Sparklers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","339","340","340","Items","340","identified_missing_image","","Unknown","Unknown","","""680149005007"" fireworks | 10"" Color Sparkler Shogun official fireworks manufacturer","https://staging.usa-fireworks.com/products/sparklers/10-color-sparkler-single-pack-of-8-sparklers/ | https://www.connfireworks.com/shogun-10-color-sparklers.html | https://rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/ | https://www.superiorcelebrations.com/product/nce750b/10-color-sparklers.html | https://www.rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/","The Winco UPC record identifies separate green/blue/red 10-inch electric wire sparkler eight-packs. Search candidates show Shogun bamboo sparklers or mixed colors, which cannot replace these wire/color variants.","Exact wire-stick eight-pack photo for each UPC/color; do not use bamboo-stick or assorted substitutes."
"EUGR467EG6YBC7IZANAOIYUQ","680149004987","","Electric Sparklers ","Electric Sparklers","Unknown","Unknown","Electric Sparklers BOGO","Electric Sparklers BOGO","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","340","341","341","Items","341","identified_missing_image","","Unknown","Unknown","","""680149004987"" fireworks | Electric Sparklers Electric Sparklers BOGO fireworks manufacturer","https://www.alibaba.com/electric-sparklers-fireworks-suppliers.html | https://www.championfireworks.com/application/indoor-wedding-electric-sparklers | https://www.tradeindia.com/products/75-cm-electric-sparklers-cs-007-2387822.html | https://electricmatch.com/ | https://www.rameshcolour.com/ | https://www.rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/","The Winco UPC record identifies separate green/blue/red 10-inch electric wire sparkler eight-packs. Search candidates show Shogun bamboo sparklers or mixed colors, which cannot replace these wire/color variants.","Exact wire-stick eight-pack photo for each UPC/color; do not use bamboo-stick or assorted substitutes."
"55MZDC6656ZFQBJ72GZUVDHL","680149004994","","Electric Sparklers ","Electric Sparklers","Unknown","Unknown","Electric Sparklers","Electric Sparklers","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","341","342","342","Items","342","identified_missing_image","","Unknown","Unknown","","""680149004994"" fireworks | Electric Sparklers Electric Sparklers fireworks manufacturer","https://www.alibaba.com/electric-sparklers-fireworks-suppliers.html | https://www.championfireworks.com/application/indoor-wedding-electric-sparklers | https://www.tradeindia.com/products/75-cm-electric-sparklers-cs-007-2387822.html | https://electricmatch.com/ | https://www.rameshcolour.com/ | https://www.rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/","The Winco UPC record identifies separate green/blue/red 10-inch electric wire sparkler eight-packs. Search candidates show Shogun bamboo sparklers or mixed colors, which cannot replace these wire/color variants.","Exact wire-stick eight-pack photo for each UPC/color; do not use bamboo-stick or assorted substitutes."
"TGZ6I3LK5MKTW6422R4E6QJL","805253335219","","Festival Balls (Boomer 6 pcs) (Red/Black Box)","Festival Balls (Boomer 6 pcs) (Red/Black Box)","Boomer","Artillery/Festival Balls","Regular","Unknown","6 pcs","probable","Festival Balls variants have different named brands/box colors. Monkey Mania yellow-box assets do not establish identity of this variant.","products.json[65] Festival Balls / Monkey Mania / /products/festival-balls.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","358","359","359","Items","359","identified_missing_image","","Unknown","Unknown","","""805253335219"" fireworks | Festival Balls Boomer official fireworks manufacturer","https://usa-fireworks.com/products/artillery-shells/festival-balls-3/ | https://americanwholesalefireworks.com/festival-balls-boomer/","Boomer red/black Festival Balls six-pack UPC 805253335219 is identified. The former USA Fireworks image is unavailable locally and the current website rejects access. AWF lists BM1412, without evidence equating that presentation to this Square UPC.","Complete six-pack red/black photo and UPC/model crosswalk; do not reuse the other published Festival Balls packages."
