product_id,event_id,launch_in_simulation_estimate,burst_in_simulation_estimate,burst_in_source_video_estimate,shape,colors,illustrative_persistence_seconds,launch_visible
bump-bear,bump-bear-1,0,1.0,5.4,palm,#ff465c,2.0,True
bump-bear,bump-bear-2,1.4,2.4,6.8,palm,#5df383,2.0,True
bump-bear,bump-bear-3,3.1,4.1,8.5,palm,#ffc965,2.0,True
bump-bear,bump-bear-4,4.4,5.4,9.8,palm,#e7efff,2.0,True
bump-bear,bump-bear-5,5.9,6.9,11.3,palm,#ff465c,2.0,True
bump-bear,bump-bear-6,7.4,8.4,12.8,palm,#5df383,2.0,True
bump-bear,bump-bear-7,8.9,9.9,14.3,palm,#ffc965,2.0,True
bump-bear,bump-bear-8,10.1,11.1,15.5,palm,#e7efff,2.0,True
bump-bear,bump-bear-9,11.6,12.6,17.0,palm,#ff465c,2.0,True
bump-bear,bump-bear-10,12.6,13.6,18.0,palm,#5df383,2.0,True
bump-bear,bump-bear-11,14.1,15.1,19.5,palm,#ffc965,2.0,True
bump-bear,bump-bear-12,15.6,16.6,21.0,palm,#e7efff,2.0,True
bump-bear,bump-bear-13,17.1,18.1,22.5,palm,#ff465c,2.0,True
bump-bear,bump-bear-14,18.0,19.0,23.4,palm,#5df383,2.0,True
bump-bear,bump-bear-15,19.6,20.6,25.0,palm,#ffc965,2.0,True
bump-bear,bump-bear-16,21.2,22.2,26.6,palm,#e7efff,2.0,True
band-of-brothers,band-of-brothers-1,0.2,1.2,4.7,peony,#ff405b; #709cff,2.8,True
band-of-brothers,band-of-brothers-2,3.3,4.3,7.8,peony,#60ee8c; #fa81e8,2.8,True
band-of-brothers,band-of-brothers-3,6.6,7.6,11.1,peony,#64efa0; #749dff,2.8,True
band-of-brothers,band-of-brothers-4,10.0,11.0,14.5,peony,#ff405b; #709cff,2.8,True
band-of-brothers,band-of-brothers-5,13.3,14.3,17.8,peony,#60ee8c; #fa81e8,2.8,True
band-of-brothers,band-of-brothers-6,16.5,17.5,21.0,peony,#64efa0; #749dff,2.8,True
band-of-brothers,band-of-brothers-7,19.9,20.9,24.4,peony,#ff405b; #709cff,2.8,True
band-of-brothers,band-of-brothers-8,23.2,24.2,27.7,peony,#60ee8c; #fa81e8,2.8,True
band-of-brothers,band-of-brothers-9,26.5,27.5,31.0,peony,#64efa0; #749dff,2.8,True
band-of-brothers,band-of-brothers-10,29.28,30.28,33.78,peony,#ff405b; #709cff,2.8,True
band-of-brothers,band-of-brothers-11,29.66,30.66,34.16,peony,#60ee8c; #fa81e8,2.8,True
band-of-brothers,band-of-brothers-12,29.84,30.84,34.34,peony,#64efa0; #749dff,2.8,True
ghostacular-24-pack,ghostacular-24-pack-1,0,0.6,3.8,ring,#ff4861,2.9,False
maelstrom-24-pack,maelstrom-24-pack-1,0.5,1.5,7.0,palm-glitter,#ff4b58,3.2,True
