ID,Name,Brand,Category,Variant,Video reference,Playground status,Pending reason
the-reaper,The Reaper,Raccoon,500g Cakes,,https://www.youtube.com/watch?v=FP8t9UP0Im8,Not available,Video not inspected in this batch; no effect profile inferred.
alien-attack,Alien Attack,Happy Family,500g Cakes,,https://www.youtube.com/watch?v=wTSWjZvHc_M,Not available,Video not inspected in this batch; no effect profile inferred.
festival-balls-reloadable,Festival Balls,Monkey Mania,Reloadables,6-piece pack · yellow box,https://www.youtube.com/watch?v=38JSR3cUynU,Not available,Video not inspected in this batch; no effect profile inferred.
neon-beef,Neon Beef,Winda,Artillery Shells,,https://www.youtube.com/watch?v=Qnw1EaEoHs4,Not available,Video not inspected in this batch; no effect profile inferred.
diablo,Diablo,Black Cat,Artillery Shells,5-inch shells · 24 pack,https://www.youtube.com/watch?v=oWgGZIkl8cA&t=6s,Not available,Video not inspected in this batch; no effect profile inferred.
night-rider,Night Rider,Monkey Mania,200g Cakes,,https://www.youtube.com/watch?v=e9y7KeeEg6Q,Not available,Video not inspected in this batch; no effect profile inferred.
futurama-artillery,Futurama Artillery,Raccoon,Artillery Shells,,https://www.youtube.com/watch?v=dZRsu66-XiQ,Not available,Video not inspected in this batch; no effect profile inferred.
festival-balls-artillery,Festival Balls,Black Cat,Artillery Shells,,https://www.youtube.com/watch?v=IUaMk3dJlcA,Not available,Video not inspected in this batch; no effect profile inferred.
mother-of-all-fireworks,Mother of All Fireworks,Raccoon,Artillery Shells,4-inch shells · 24 pack,https://www.youtube.com/watch?v=Ovx4aht3c4k&pp=ygUfbW90aGVyIG9mIGFsbCBmaXJld29ya3MgcmFjY29vbg%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
neon-skies,Neon Skies,Raccoon,Artillery Shells,4-inch shells · 24 pack,https://www.youtube.com/watch?v=lkwuy6Fg5AM&pp=ygURbmVvbiBza2llc3JhY2Nvb24%3D,Not available,Video not inspected in this batch; no effect profile inferred.
sucker-punch,Sucker Punch,Raccoon,500g Cakes,500 gram · 182 shots,https://www.youtube.com/watch?v=gp2KDp1AwK0&pp=ygUUc3Vja2VyIHB1bmNoIHJhY2Nvb24%3D,Not available,Video not inspected in this batch; no effect profile inferred.
invincible,Invincible,Raccoon,500g Cakes,500 gram · 198 shots,https://www.youtube.com/watch?v=HAI30K7Efvs&pp=ygUcaW52aW5jaWJsZSByYWNjb29uIGZpcmV3b3Jrcw%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
purely-american,Purely American,Raccoon,500g Cakes,500 gram · 135 shots,https://www.youtube.com/watch?v=aGbdVTJ_H34&pp=ygUhcHVyZWx5IGFtZXJpY2FuIHJhY2Nvb24gZmlyZXdvcmtz,Not available,Video not inspected in this batch; no effect profile inferred.
neon-fish,Neon Fish,Monkey Mania,Fountains,,https://www.youtube.com/watch?v=185BWnn2fBw&pp=ygUVbmVvbiBmaXNobW9ua2V5IG1hbmlh,Not available,Video not inspected in this batch; no effect profile inferred.
high-falutin,High Falutin’,Brothers,500g Cakes,500 gram,https://www.youtube.com/watch?v=-T7GDnGOadw&pp=ygUfZ2lnaCBmYWx1dGluJ2Jyb3RoZXJzIGZpcmV3b3Jrcw%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
hit-the-road-jack,Hit the Road Jack,Brothers,500g Cakes,500 gram,https://www.youtube.com/watch?v=0GOAHnEJ5pQ&pp=ygUkaGl0IHRoZSByb2FkIGphY2sgYnJvdGhlcnMgZmlyZXdvcmtz,Not available,Video not inspected in this batch; no effect profile inferred.
saturday-night-special,Saturday Night Special,Brothers,500g Cakes,500 gram,https://www.youtube.com/watch?v=MLzX_n7uqaQ&pp=ygUoc2F0dWRheSBuaWdodCBzcGVjaWFsIGJyb3RoZXJzIGZpcmV3b3Jrcw%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
