"csv_row","square_token","initial_status","status","product_id","verified_brand","manufacturer_code","sources","queries","reason","required_next_step","dynamite_candidates","reviewed_on"
"163","6CSS3ISX42RRXQQ2MENLSZC6","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://www.scbfireworks.com/product/black-cat-firecrackers-32-500-roll/","Compared code against official Winco UPC reference | BC 8000 Firecracker L299@P26: Firecrackers FCBCR8000 Black Cat Roll Firecrackers (715244101085) fireworks manufacturer","Black Cat firecracker roll identity/count is known. Available manufacturer/distributor photographs group overlapping sizes; no approved isolated photograph establishes this specific 8000/4000/500 roll. nhpyro.com image download was denied by automatic approval review; no bypass attempted.","Obtain a complete isolated photograph with the correct roll count visible. Preserve distinct Square UPCs.","Unknown","2026-09-24"
"193","YSCA5EM7QBGQ26342HWEVWIJ","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://www.scbfireworks.com/product/black-cat-firecrackers-32-500-roll/","Compared code against official Winco UPC reference | Black Cat 4000 L298@P26: Firecrackers FCBCR4000 Black Cat Roll Firecrackers (715244140008) fireworks manufacturer","Black Cat firecracker roll identity/count is known. Available manufacturer/distributor photographs group overlapping sizes; no approved isolated photograph establishes this specific 8000/4000/500 roll. nhpyro.com image download was denied by automatic approval review; no bypass attempted.","Obtain a complete isolated photograph with the correct roll count visible. Preserve distinct Square UPCs.","Unknown","2026-09-24"
"201","OHKV5B66T3AXTW7D5M5EMGGO","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://blackcatfireworks.com/fireworks/firecrackers/ | https://www.scbfireworks.com/product/black-cat-firecrackers-32-500-roll/","Compared code against official Winco UPC reference | Black Cat 500ct Firecracker L295@P26: Firecrackers FCBCR00500 Black Cat Roll Firecrackers (715244105007) fireworks manufacturer","Black Cat firecracker roll identity/count is known. Available manufacturer/distributor photographs group overlapping sizes; no approved isolated photograph establishes this specific 8000/4000/500 roll. nhpyro.com image download was denied by automatic approval review; no bypass attempted.","Obtain a complete isolated photograph with the correct roll count visible. Preserve distinct Square UPCs.","Unknown","2026-09-24"
"216","HJGHH3DSBQ3WC6ZCQID7J7VX","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://www.starspanglednovelties.com/sparklers/neonsparklers.html | https://reliablefuse.com/product/neon-color-flame/","Compared code against official Winco UPC reference | Black Cat Neon Sparkler Special 5 Ct L533@P46: Sparklers SKBC313-15* Neon Sparkler 17"": Special Effect (715244313136) fireworks manufacturer","Neon Special Effects and Waterfall identities are known, but the local Winco candidate shows combined packages with their bottoms cut off. Other listings mix colors and variants; none provides a faithful complete exact retail package.","Complete photograph of the exact five-pack variant with labels and entire package visible.","Unknown","2026-09-24"
"217","IGYZ3FSCVEQTCHU556SVQHRY","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://usa-fireworks.com/products/sparklers/neon-sparklers-bc/ | https://blackcatfireworks.com/fireworks/firecrackers/ | https://blackcatfireworks.com/ | https://blackcatfireworks.com/fireworks/firecrackers/flashlight-firecrackers/ | https://www.blackcatfireworks.co.uk/about/about-us/ | https://www.blackcatfireworks.co.uk/about/our-brands/ | https://www.starspanglednovelties.com/sparklers/neonsparklers.html | https://reliablefuse.com/product/neon-color-flame/","""715244313129"" fireworks | 17"" BC Neon Sparklers Black Cat Fireworks official fireworks manufacturer","Neon Special Effects and Waterfall identities are known, but the local Winco candidate shows combined packages with their bottoms cut off. Other listings mix colors and variants; none provides a faithful complete exact retail package.","Complete photograph of the exact five-pack variant with labels and entire package visible.","Unknown","2026-09-24"
"284","HEQRXJPC54BDZL3AERGXQY7Y","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://www.liuyangfireworks.net/blog/liuyang-smoke-fireworks.html | https://elevatedfireworks.com/collections/smoke/products/black-cat-smoke-balls-12-pack","Compared code against official Winco UPC reference | Color Smokeballs L507@P44: Smoke Items SMBC702 BC Color Smoke Balls (715244007028) fireworks manufacturer","Black Cat 12-pack UPC 715244007028 is identified. The reviewed retailer photograph mixes an outer carton, multiple bags and loose balls; it does not clearly isolate one complete 12-pack.","Readable complete 12-ball retail package photograph, not a wholesale carton or several retail units.","Unknown","2026-09-24"
"339","ADOJ2HOWLC3REE7GQSLVGOEP","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://staging.usa-fireworks.com/products/sparklers/10-color-sparkler-single-pack-of-8-sparklers/ | https://www.connfireworks.com/shogun-10-color-sparklers.html | https://rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/ | https://www.superiorcelebrations.com/product/nce750b/10-color-sparklers.html | https://www.rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/","""680149005007"" fireworks | 10"" Color Sparkler Shogun official fireworks manufacturer","The Winco UPC record identifies separate green/blue/red 10-inch electric wire sparkler eight-packs. Search candidates show Shogun bamboo sparklers or mixed colors, which cannot replace these wire/color variants.","Exact wire-stick eight-pack photo for each UPC/color; do not use bamboo-stick or assorted substitutes.","Unknown","2026-09-24"
"340","EUGR467EG6YBC7IZANAOIYUQ","no_verified_identity","identified_missing_image","","Unknown","Unknown","https://www.alibaba.com/electric-sparklers-fireworks-suppliers.html | https://www.championfireworks.com/application/indoor-wedding-electric-sparklers | https://www.tradeindia.com/products/75-cm-electric-sparklers-cs-007-2387822.html | https://electricmatch.com/ | https://www.rameshcolour.com/ | https://www.rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/","""680149004987"" fireworks | Electric Sparklers Electric Sparklers BOGO fireworks manufacturer","The Winco UPC record identifies separate green/blue/red 10-inch electric wire sparkler eight-packs. Search candidates show Shogun bamboo sparklers or mixed colors, which cannot replace these wire/color variants.","Exact wire-stick eight-pack photo for each UPC/color; do not use bamboo-stick or assorted substitutes.","Unknown","2026-09-24"
"341","55MZDC6656ZFQBJ72GZUVDHL","no_verified_identity","identified_missing_image","","Unknown","Unknown","https://www.alibaba.com/electric-sparklers-fireworks-suppliers.html | https://www.championfireworks.com/application/indoor-wedding-electric-sparklers | https://www.tradeindia.com/products/75-cm-electric-sparklers-cs-007-2387822.html | https://electricmatch.com/ | https://www.rameshcolour.com/ | https://www.rkmfireworks.net/shogun-color-sparklers-10-bamboo-12-8/","""680149004994"" fireworks | Electric Sparklers Electric Sparklers fireworks manufacturer","The Winco UPC record identifies separate green/blue/red 10-inch electric wire sparkler eight-packs. Search candidates show Shogun bamboo sparklers or mixed colors, which cannot replace these wire/color variants.","Exact wire-stick eight-pack photo for each UPC/color; do not use bamboo-stick or assorted substitutes.","Unknown","2026-09-24"
"358","TGZ6I3LK5MKTW6422R4E6QJL","candidate_requires_package_review","identified_missing_image","","Unknown","Unknown","https://usa-fireworks.com/products/artillery-shells/festival-balls-3/ | https://americanwholesalefireworks.com/festival-balls-boomer/","""805253335219"" fireworks | Festival Balls Boomer official fireworks manufacturer","Boomer red/black Festival Balls six-pack UPC 805253335219 is identified. The former USA Fireworks image is unavailable locally and the current website rejects access. AWF lists BM1412, without evidence equating that presentation to this Square UPC.","Complete six-pack red/black photo and UPC/model crosswalk; do not reuse the other published Festival Balls packages.","products.json[65] Festival Balls / Monkey Mania / /products/festival-balls.png","2026-09-24"
